,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
2,40.698302,-73.923207,MYRTLE AV/WILSON AV,< 1 stop away,5778.4800000000005,6585
0,40.698521,-73.921095,MYRTLE AV/WILSON AV,at stop,5958.13,6585
1,40.693496,-73.979369,MYRTLE AV/ASHLAND PL,at stop,999.37,6557
2,40.694445,-73.9573,MYRTLE AV/SPENCER ST,< 1 stop away,2872.36,4060
0,40.693413,-73.977246,MYRTLE AV/N PORTLAND AV,< 1 stop away,1178.58,6557
1,40.694445,-73.9573,MYRTLE AV/SPENCER ST,< 1 stop away,2872.36,4060
2,40.698548,-73.92083,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,5980.69,6585
0,40.693363,-73.975948,MYRTLE AV/N PORTLAND AV,approaching,1288.1599999999999,6557
1,40.694445,-73.9573,MYRTLE AV/SPENCER ST,< 1 stop away,2872.36,4060
2,40.698598,-73.920344,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,6022.05,6585
0,40.69466,-73.955427,MYRTLE AV/SPENCER ST,at stop,3032.05,4060
1,40.698644,-73.919902,MYRTLE AV/KNICKERBOCKER AV,approaching,6059.65,6585
2,40.693316,-73.974685,MYRTLE AV/CARLTON AV,< 1 stop away,1394.81,6557
0,40.698761,-73.918798,MYRTLE AV/KNICKERBOCKER AV,at stop,6153.66,6585
1,40.694788,-73.954322,MYRTLE AV/WALWORTH ST,approaching,3126.3199999999997,4060
2,40.693255,-73.973048,MYRTLE AV/CARLTON AV,approaching,1532.93,6557
0,40.694505,-73.987183,JAY ST/MYRTLE PLZ,at stop,0.07,6515
1,40.693236,-73.972558,MYRTLE AV/CARLTON AV,at stop,1574.3600000000001,6557
2,40.698766,-73.918754,MYRTLE AV/KNICKERBOCKER AV,at stop,6157.42,6585
3,40.69492,-73.953183,MYRTLE AV/NOSTRAND AV,approaching,3223.42,4060
0,40.693236,-73.972558,MYRTLE AV/CARLTON AV,at stop,1574.3600000000001,6557
1,40.694976,-73.952721,MYRTLE AV/NOSTRAND AV,at stop,3262.84,4060
2,40.698932,-73.917141,MYRTLE AV/MENAHAN ST,approaching,6294.58,6585
3,40.696018,-73.986567,MYRTLE AV/FLEET PL,< 1 stop away,216.5200000000001,6515
0,40.695139,-73.951294,MYRTLE AV/MARCY AV,< 1 stop away,3384.5499999999997,4060
1,40.693223,-73.97223,MYRTLE AV/VANDERBILT AV,< 1 stop away,1602.02,6557
2,40.699105,-73.915485,GATES AV/WYCKOFF AV,< 1 stop away,6435.57,6585
3,40.695963,-73.984964,MYRTLE AV/FLEET PL,< 1 stop away,351.80000000000007,6515
0,40.695356,-73.949382,MYRTLE AV/MARCY AV,at stop,3547.52,4060
1,40.69315,-73.970303,MYRTLE AV/VANDERBILT AV,approaching,1764.64,6557
2,40.699151,-73.915043,GATES AV/WYCKOFF AV,< 1 stop away,6473.17,6585
3,40.695963,-73.984964,MYRTLE AV/FLEET PL,< 1 stop away,351.80000000000007,6515
0,40.695356,-73.949382,MYRTLE AV/MARCY AV,at stop,3547.52,4060
1,40.693121,-73.969525,MYRTLE AV/VANDERBILT AV,approaching,1830.38,6557
2,40.69939,-73.913062,GATES AV/WYCKOFF AV,< 1 stop away,6642.35,6585
3,40.695952,-73.984676,MYRTLE AV/FLEET PL,< 1 stop away,376.08000000000004,6515
0,40.693154,-73.968496,MYRTLE AV/CLINTON AV,at stop,1917.56,6557
1,40.695672,-73.946636,MYRTLE AV/TOMPKINS AV,at stop,3781.6600000000003,4060
2,40.699493,-73.912453,GATES AV/WYCKOFF AV,approaching,6694.99,6585
3,40.694763,-73.983976,MYRTLE AV/FLEET PL,< 1 stop away,525.23,6515
0,40.695683,-73.94654,MYRTLE AV/TOMPKINS AV,at stop,3789.8300000000004,4060
1,40.693316,-73.967086,MYRTLE AV/WASHINGTON AV,approaching,2037.7599999999998,6557
2,40.699493,-73.912453,GATES AV/WYCKOFF AV,approaching,6694.99,6585
3,40.693859,-73.983525,MYRTLE AV/FLEET PL,< 1 stop away,632.76,6515
0,40.693381,-73.966535,MYRTLE AV/WASHINGTON AV,at stop,2084.77,6557
1,40.699756,-73.911982,GATES AV/WYCKOFF AV,approaching,6747.62,6585
2,40.695922,-73.944465,MYRTLE AV/THROOP AV,approaching,3966.83,4060
3,40.693859,-73.983525,MYRTLE AV/FLEET PL,< 1 stop away,632.76,6515
0,40.696061,-73.943251,MYRTLE AV/THROOP AV,at stop,4070.3,4060
1,40.699756,-73.911982,GATES AV/WYCKOFF AV,approaching,6747.62,6585
2,40.693464,-73.965827,MYRTLE AV/RYERSON ST,approaching,2145.22,6557
3,40.693859,-73.983525,MYRTLE AV/FLEET PL,< 1 stop away,632.76,6515
0,40.696281,-73.941334,MYRTLE AV/MARCUS GARVEY BL,approaching,4233.76,4060
1,40.693464,-73.965827,MYRTLE AV/RYERSON ST,approaching,2145.22,6557
2,40.693567,-73.981248,MYRTLE AV/ASHLAND PL,< 1 stop away,840.76,6515
3,40.700352,-73.911385,PALMETTO ST/ST NICHOLAS AV,< 1 stop away,6830.8099999999995,6585
0,40.693494,-73.979328,MYRTLE AV/ASHLAND PL,at stop,1002.82,6515
1,40.696325,-73.940951,MYRTLE AV/MARCUS GARVEY BL,at stop,4266.46,4060
2,40.693908,-73.961992,MYRTLE AV/CLASSON AV,approaching,2472.26,6557
3,40.700352,-73.911385,PALMETTO ST/ST NICHOLAS AV,< 1 stop away,6830.8099999999995,6585
0,40.696333,-73.940887,MYRTLE AV/MARCUS GARVEY BL,at stop,4271.91,4060
1,40.700786,-73.910943,PALMETTO ST/ST NICHOLAS AV,approaching,6891.79,6585
2,40.69341,-73.977165,MYRTLE AV/N PORTLAND AV,approaching,1185.4199999999998,6515
3,40.694076,-73.960523,MYRTLE AV/FRANKLIN AV,< 1 stop away,2597.5499999999997,6557
0,40.693342,-73.97538,MYRTLE AV/N PORTLAND AV,at stop,1336.11,6515
1,40.696333,-73.940887,MYRTLE AV/MARCUS GARVEY BL,at stop,4271.91,4060
2,40.700889,-73.910413,PALMETTO ST/ST NICHOLAS AV,approaching,6956.59,6585
3,40.694152,-73.959847,MYRTLE AV/FRANKLIN AV,< 1 stop away,2655.1299999999997,6557
0,40.700614,-73.909949,PALMETTO ST/ST NICHOLAS AV,at stop,7006.139999999999,6585
1,40.69326,-73.973171,MYRTLE AV/CARLTON AV,approaching,1522.57,6515
2,40.69454,-73.956471,MYRTLE AV/SPENCER ST,approaching,2943.04,6557
3,40.696439,-73.939959,MYRTLE AV/LEWIS AV,< 1 stop away,4351.0199999999995,4060
0,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
1,40.693252,-73.972967,MYRTLE AV/CARLTON AV,approaching,1539.83,6515
2,40.696896,-73.935995,MYRTLE AV/BROADWAY,approaching,4689.04,4060
3,40.694554,-73.956348,MYRTLE AV/SPENCER ST,approaching,2953.51,6557
0,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
1,40.696907,-73.935899,MYRTLE AV/BROADWAY,approaching,4697.21,4060
2,40.694664,-73.955396,MYRTLE AV/WALWORTH ST,approaching,3034.67,6557
3,40.69321,-73.971861,MYRTLE AV/VANDERBILT AV,< 1 stop away,1633.16,6515
0,40.694827,-73.953984,MYRTLE AV/WALWORTH ST,at stop,3155.13,6557
1,40.696959,-73.935452,MYRTLE AV/BROADWAY,at stop,4735.31,4060
2,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
3,40.693139,-73.970017,MYRTLE AV/VANDERBILT AV,approaching,1788.8600000000001,6515
0,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
1,40.696947,-73.935548,MYRTLE AV/BROADWAY,at stop,4727.15,4060
2,40.693127,-73.969689,MYRTLE AV/VANDERBILT AV,approaching,1816.54,6515
3,40.69492,-73.953183,MYRTLE AV/NOSTRAND AV,approaching,3223.42,6557
0,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
1,40.696944,-73.93558,MYRTLE AV/BROADWAY,at stop,4724.42,4060
2,40.693127,-73.969689,MYRTLE AV/VANDERBILT AV,approaching,1816.54,6515
3,40.69492,-73.953183,MYRTLE AV/NOSTRAND AV,approaching,3223.42,6557
0,40.693112,-73.969279,MYRTLE AV/VANDERBILT AV,at stop,1851.14,6515
1,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
2,40.694976,-73.952721,MYRTLE AV/NOSTRAND AV,at stop,3262.84,6557
3,40.696936,-73.935644,MYRTLE AV/BROADWAY,at stop,4718.9800000000005,4060
0,40.693154,-73.968496,MYRTLE AV/CLINTON AV,at stop,1917.56,6515
1,40.70048,-73.910069,PALMETTO ST/ST NICHOLAS AV,at stop,7025.2,6585
2,40.694976,-73.952721,MYRTLE AV/NOSTRAND AV,at stop,3262.84,6557
3,40.696936,-73.935644,MYRTLE AV/BROADWAY,at stop,4718.9800000000005,4060
0,40.693384,-73.966505,MYRTLE AV/WASHINGTON AV,at stop,2087.3799999999997,6515
1,40.694979,-73.95269,MYRTLE AV/NOSTRAND AV,at stop,3265.4700000000003,6557
2,40.696944,-73.93558,MYRTLE AV/BROADWAY,at stop,4724.42,4060
0,40.695345,-73.949478,MYRTLE AV/MARCY AV,at stop,3539.37,6557
1,40.693421,-73.966197,MYRTLE AV/RYERSON ST,approaching,2113.66,6515
2,40.697137,-73.933816,MYRTLE AV/BUSHWICK AV,< 1 stop away,4874.71,4060
0,40.695356,-73.949382,MYRTLE AV/MARCY AV,at stop,3547.52,6557
1,40.693711,-73.963675,MYRTLE AV/STEUBEN ST,approaching,2328.7200000000003,6515
2,40.697484,-73.930735,MYRTLE AV/EVERGREEN AV,approaching,5137.33,4060
0,40.697605,-73.929621,MYRTLE AV/EVERGREEN AV,at stop,5232.19,4060
1,40.693771,-73.963155,MYRTLE AV/STEUBEN ST,approaching,2373.1000000000004,6515
2,40.695411,-73.948903,MYRTLE AV/TOMPKINS AV,< 1 stop away,3588.36,6557
0,40.695683,-73.94654,MYRTLE AV/TOMPKINS AV,at stop,3789.8300000000004,6557
1,40.694044,-73.960799,MYRTLE AV/CLASSON AV,at stop,2574.02,6515
2,40.697605,-73.929621,MYRTLE AV/EVERGREEN AV,at stop,5232.19,4060
0,40.697791,-73.928039,MYRTLE AV/HART ST,approaching,5367.089999999999,4060
1,40.695918,-73.944497,MYRTLE AV/THROOP AV,approaching,3964.1,6557
2,40.694097,-73.960338,MYRTLE AV/FRANKLIN AV,< 1 stop away,2613.25,6515
0,40.697998,-73.926063,MYRTLE AV/DE KALB AV,approaching,5535.33,4060
1,40.69425,-73.958988,MYRTLE AV/FRANKLIN AV,approaching,2728.41,6515
2,40.695918,-73.944497,MYRTLE AV/THROOP AV,approaching,3964.1,6557
3,40.694566,-73.98718,TILLARY ST/JAY ST,< 1 stop away,6.930000000000007,4517
0,40.698013,-73.925927,MYRTLE AV/DE KALB AV,at stop,5546.92,4060
1,40.696046,-73.943379,MYRTLE AV/THROOP AV,at stop,4059.41,6557
2,40.695862,-73.987119,TILLARY ST/JAY ST,approaching,151.12,4517
3,40.694533,-73.956532,MYRTLE AV/SPENCER ST,approaching,2937.8,6515
0,40.696336,-73.940855,MYRTLE AV/MARCUS GARVEY BL,at stop,4274.63,6557
1,40.694536,-73.956501,MYRTLE AV/SPENCER ST,approaching,2940.42,6515
2,40.698279,-73.923431,MYRTLE AV/WILSON AV,< 1 stop away,5759.37,4060
3,40.695432,-73.984318,MYRTLE AV/FLEET PL,< 1 stop away,445.45000000000005,4517
0,40.696336,-73.940855,MYRTLE AV/MARCUS GARVEY BL,at stop,4274.63,6557
1,40.694632,-73.955672,MYRTLE AV/SPENCER ST,at stop,3011.11,6515
2,40.69383,-73.983511,MYRTLE AV/FLEET PL,< 1 stop away,636.23,4517
3,40.698279,-73.923431,MYRTLE AV/WILSON AV,< 1 stop away,5759.37,4060
0,40.696619,-73.938391,MYRTLE AV/LEWIS AV,approaching,4484.71,6557
1,40.694664,-73.955396,MYRTLE AV/WALWORTH ST,approaching,3034.67,6515
2,40.693655,-73.983423,MYRTLE AV/FLEET PL,< 1 stop away,657.0400000000001,4517
3,40.698571,-73.920609,MYRTLE AV/KNICKERBOCKER AV,< 1 stop away,5999.49,4060
0,40.698747,-73.91893,MYRTLE AV/KNICKERBOCKER AV,approaching,6142.38,4060
1,40.696633,-73.938263,MYRTLE AV/LEWIS AV,approaching,4495.63,6557
2,40.694664,-73.955396,MYRTLE AV/WALWORTH ST,approaching,3034.67,6515
3,40.693571,-73.98137,MYRTLE AV/ASHLAND PL,< 1 stop away,830.4200000000001,4517
0,40.698743,-73.918975,MYRTLE AV/KNICKERBOCKER AV,approaching,6138.62,4060
1,40.69667,-73.937943,MYRTLE AV/LEWIS AV,approaching,4522.91,6557
2,40.694691,-73.95515,MYRTLE AV/WALWORTH ST,approaching,3055.62,6515
3,40.693549,-73.980758,MYRTLE AV/ASHLAND PL,approaching,882.1400000000001,4517
0,40.693497,-73.97941,MYRTLE AV/ASHLAND PL,at stop,995.9200000000001,4517
1,40.69483,-73.953953,MYRTLE AV/WALWORTH ST,at stop,3157.74,6515
2,40.696714,-73.937559,MYRTLE AV/LEWIS AV,at stop,4555.65,6557
3,40.698895,-73.917501,MYRTLE AV/MENAHAN ST,approaching,6264.01,4060
0,40.693496,-73.979369,MYRTLE AV/ASHLAND PL,at stop,999.37,4517
1,40.694909,-73.953275,MYRTLE AV/NOSTRAND AV,approaching,3215.54,6515
2,40.696777,-73.937016,MYRTLE AV/BROADWAY,approaching,4601.95,6557
3,40.699086,-73.915661,GATES AV/WYCKOFF AV,< 1 stop away,6420.53,4060
0,40.693499,-73.979451,MYRTLE AV/ASHLAND PL,at stop,992.48,4517
1,40.694939,-73.953029,MYRTLE AV/NOSTRAND AV,approaching,3236.56,6515
2,40.696785,-73.936952,MYRTLE AV/BROADWAY,approaching,4607.39,6557
3,40.69917,-73.914866,GATES AV/WYCKOFF AV,< 1 stop away,6488.2,4060
0,40.693496,-73.979369,MYRTLE AV/ASHLAND PL,at stop,999.37,4517
