,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,SituationSimpleRef,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
0,186.5744,MTA NYCT_FP_B8-Weekday_C_FP_20760_B54-207,3358.23,2018-04-03,MTA NYCT_FP_B8-Weekday-103400_B54_218,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,7.12,2018-04-03T17:38:37.301-04:00,2018-04-03T17:38:37.301-04:00,MTA_B540070,40.6954,MTA NYCT_B54,-73.949004,True,MTA NYCT,,MTA_505218,at stop,normalProgress,,B54,2018-04-03T17:38:02.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/MARCY AV,MTA_304433,0,MTA NYCT_7286,1
1,184.61992,MTA NYCT_FP_B8-Weekday_C_FP_15000_B54-202,5077.49,2018-04-03,MTA NYCT_FP_B8-Weekday-101800_B54_215,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,30.92,2018-04-03T17:38:40.143-04:00,2018-04-03T17:38:40.143-04:00,MTA_B540070,40.693112,MTA NYCT_B54,-73.968886,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:38:25.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CLINTON AV,MTA_304442,0,MTA NYCT_3969,1
2,46.091908,MTA NYCT_FP_B8-Weekday_C_FP_48300_B26-23,6796.5,2018-04-03,MTA NYCT_FP_B8-Weekday-100600_B54_220,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,37.48,2018-04-03T17:38:37.301-04:00,2018-04-03T17:38:37.301-04:00,MTA_B540062,40.699839,MTA NYCT_B54,-73.911902,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:17.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,GATES AV/WYCKOFF AV,MTA_308596,0,MTA NYCT_6516,1
3,6.5683036,,4274.63,2018-04-03,MTA NYCT_FP_B8-Weekday-102200_B54_212,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,53.85,,,MTA_B540062,40.696264,MTA NYCT_B54,-73.941486,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:15.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/MARCUS GARVEY BL,MTA_307125,0,MTA NYCT_6520,1
4,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-100200_B54_223,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,67.56,2018-04-03T17:38:53.502-04:00,2018-04-03T17:38:53.502-04:00,MTA_B540070,40.693884,MTA NYCT_B54,-73.987197,True,MTA NYCT,2018-04-03T17:42:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:38:23.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6548,1
5,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-101000_B54_225,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,75.67,2018-04-03T17:38:55.162-04:00,2018-04-03T17:38:55.162-04:00,MTA_B540070,40.693811,MTA NYCT_B54,-73.987201,True,MTA NYCT,2018-04-03T17:50:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:38:21.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6579,1
6,186.78667,MTA NYCT_FP_B8-Weekday_C_FP_54780_B54-219,1721.07,2018-04-03,MTA NYCT_FP_B8-Weekday-104200_B54_219,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,83.83,2018-04-03T17:38:53.654-04:00,2018-04-03T17:38:53.654-04:00,MTA_B540070,40.697688,MTA NYCT_B54,-73.9289,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:38:28.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/SUYDAM ST,MTA_307151,0,MTA NYCT_6541,1
7,5.8310223,MTA NYCT_FP_B8-Weekday_C_FP_17820_B54-205,5958.13,2018-04-03,MTA NYCT_FP_B8-Weekday-101400_B54_222,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,91.57,2018-04-03T17:39:04.688-04:00,2018-04-03T17:39:04.688-04:00,MTA_B540062,40.698409,MTA NYCT_B54,-73.922171,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:25.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/WILSON AV,MTA_304411,0,MTA NYCT_6578,1
8,44.424942,MTA NYCT_FP_B8-Weekday_C_FP_55680_B54-221,7025.2,2018-04-03,MTA NYCT_FP_B8-Weekday-099800_B54_221,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,98.47,2018-04-03T17:39:11.433-04:00,2018-04-03T17:39:11.433-04:00,MTA_B540062,40.701034,MTA NYCT_B54,-73.910689,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:27.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,PALMETTO ST/ST NICHOLAS AV,MTA_901258,0,MTA NYCT_5205,1
9,6.564484,MTA NYCT_FP_B8-Weekday_C_FP_24780_B54-203,2584.46,2018-04-03,MTA NYCT_FP_B8-Weekday-103800_B54_210,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,112.06,2018-04-03T17:38:39.732-04:00,2018-04-03T17:38:39.732-04:00,MTA_B540062,40.693908,MTA NYCT_B54,-73.96199,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:05.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CLASSON AV,MTA_304394,0,MTA NYCT_7283,1
